"institution","state","type","undergrad_students","grad_students","non-research_grants","research_grants","contracts","subsidized_student_loans","unsubsidized_student_loan","parent_plus","grad_plus","pell_teach_service_grants","perkins_loans_AY17","fseog_AY17","federal_work_study_AY17"
"University of Valley Forge","PA","Private not-for-profit, 4-year or above","850","67",0,0,0,1838135,2189408,2375646,0,1490564.85,NA,NA,NA
"University of Vermont","VT","Public, 4-year or above","10992","1842",21198666.81,73364447.68,315881.72,16540934,36319998,20411555,13439673,7840234,NA,NA,NA
"University of Virginia","VA","Public, 4-year or above","16483","7147",22489494.35,195252974.12,14151798.74,13484462,57175531,13025578,38584081,10102991.42,NA,NA,NA
"University of Washington","WA","Public, 4-year or above","30672","14345",248064696.85,564606364.88,68533887.2,35303984,142282203,39712638,55562970,50472526.06,NA,NA,NA
"University of West Alabama","AL","Public, 4-year or above","1922","2117",3698497,0,0,5377965,44264725,4985907,10000,5499259.38,NA,NA,NA
"University of West Georgia","GA","Public, 4-year or above","10249","2081",456769.05,8268,0,22722977,41254716,13378119,101825,26339448.45,155801,401589,548468
"University of Western States","OR","Private not-for-profit, 4-year or above","73","728",0,0,0,17739,17391635,0,6353339,15069,NA,NA,NA
"University of Wisconsin-Eau Claire","WI","Public, 4-year or above","10196","575",1326202,994485,0,14763413,20535820,2053421,21620,9823457,NA,NA,NA
"University of Wisconsin-Green Bay","WI","Public, 4-year or above","6674","251",848294,0,0,9207710,13184143,1746547,22533,7742866,NA,NA,NA
"University of Wisconsin-La Crosse","WI","Public, 4-year or above","9820","784",2945301.86,820437,-2566.85,13012325,25175440,5091756,803892,8098175.63,NA,NA,NA
"University of Wisconsin-Madison","WI","Public, 4-year or above","30694","11725",127446122.17,433038380.97,17950746.81,26967383,104844011,20204625,11695474,19716948.67,NA,NA,NA
"University of Wisconsin-Milwaukee","WI","Public, 4-year or above","22674","4828",12699912,14125373,16294.4,37746072,69828551,12611834,2973671,31184714.5,NA,NA,NA
"University of Wisconsin-Oshkosh","WI","Public, 4-year or above","13311","1349",5816799.31,648195,0,15656978,23820102,6370104,706106,11335411,NA,NA,NA
"University of Wisconsin-Parkside","WI","Public, 4-year or above","4407","143",846271,0,0,6844184,8467563,1366102,0,7197852,NA,NA,NA
"University of Wisconsin-Platteville","WI","Public, 4-year or above","8047","967",1004649.79,105309,0,11477374,15806699,2850144,0,7479854.97,NA,NA,NA
"University of Wisconsin-Stevens Point","WI","Public, 4-year or above","9006","396",1359726.76,0,109256.7,13407786,15216138,3045164,43449,10910195.77,NA,NA,NA
"University of Wisconsin-Stout","WI","Public, 4-year or above","8279","1147",1439096.41,242136,0,12940601,21171750,2535341,112511,8980448,NA,NA,NA
"University of Wisconsin-Superior","WI","Public, 4-year or above","2466","127",693298,242136,125918.88,4625422,7595983,465249,17185,3830293,NA,NA,NA
"University of Wisconsin-Whitewater","WI","Public, 4-year or above","10988","1209",321372,1121985,0,18661422,28658142,7629958,104236,12825694.76,NA,NA,NA
"University of Wyoming","WY","Public, 4-year or above","10124","2603",28456646.55,31946392.07,163660.64,10037193,24362918,4031407,2462720,9771662.07,NA,NA,NA
"Upper Cape Cod Regional Technical School","MA","Public, less-than 2-year","73","NULL",0,0,0,221699,278933,21500,0,284950,NA,NA,NA
"Upper Iowa University","IA","Private not-for-profit, 4-year or above","4439","686",95586,0,0,10362874,22171795,1313949,18810,8789747,NA,NA,NA
"Upper Valley Career Center","OH","Public, less-than 2-year","908","NULL",0,0,0,141689,255220,9301,0,217626.7,NA,NA,NA
"Upper Valley Educators Institute","NH","Private not-for-profit, 4-year or above","NULL","28",0,0,0,63606,103603,4800,0,20549,NA,NA,NA
"Upstate Medical University","NY","Public, 4-year or above","235","1261",2479571,16601052,1699533.3,577670,19293935,24825,8608596,462998.64,NA,NA,NA
"Urban College of Boston","MA","Private not-for-profit, 2-year","811","NULL",0,0,0,NA,NA,NA,NA,1665942.72,NA,NA,NA
"Urbana University","OH","Private not-for-profit, 4-year or above","1693","226",0,0,0,1236080,2390305,1268080,625848,959623,NA,NA,NA
"Urshan Graduate School of Theology","MO","Private not-for-profit, 4-year or above","NULL","63",0,0,0,0,218084,0,0,NA,NA,NA,NA
"Ursinus College","PA","Private not-for-profit, 4-year or above","1681","NULL",-177988,90327,0,3283356,3127443,4615717,0,1405335.07,NA,NA,NA
"Ursuline College","OH","Private not-for-profit, 4-year or above","706","523",0,0,0,1830992,8539518,814396,346721,1163798,51950,129141,78972
"Uta Mesivta of Kiryas Joel","NY","Private not-for-profit, 4-year or above","1634","NULL",0,0,0,NA,NA,NA,NA,9599062.5,NA,NA,NA
"Utah State University","UT","Public, 4-year or above","24271","3363",27334423.88,19029043.66,104961157.89,24716541,28932801,1688147,824449,40190575.84,NA,NA,NA
"Utah Valley University","UT","Public, 4-year or above","31163","185",5706739.46,1972113,0,26211464,29714245,595136,60817,54038231.64,NA,NA,NA
"Utica College","NY","Private not-for-profit, 4-year or above","2921","1379",0,121942,0,9656820,20605242,8256146,2496950,6023021.32,NA,NA,NA
"Valdosta State University","GA","Public, 4-year or above","9328","2506",697596.31,33949,11772,20094368,39277010,15586325,5263142,21834768.31,NA,NA,NA
"Valencia College","FL","Public, 4-year or above","43217","NULL",1175722,1218066,0,21451196,20692869,517643,0,75854829.54,NA,NA,NA
"Valley City State University","ND","Public, 4-year or above","1234","144",25000,0,6484,1721519,2652797,42976,0,1356305.81,NA,NA,NA
"Valley Forge Military College","PA","Private not-for-profit, 2-year","324","NULL",0,0,0,496750,823904,329397,0,716132,NA,NA,NA
"Valparaiso University","IN","Private not-for-profit, 4-year or above","3251","1361",253180,131745,0,7555128,14705339,6473780,1988022,4072005,NA,NA,NA
"Vance-Granville Community College","NC","Public, 2-year","4025","NULL",-9392.65,0,68391.4,NA,NA,NA,NA,6104797.02,NA,NA,NA
"Vanderbilt University","TN","Private not-for-profit, 4-year or above","6851","5684",110044141.9,364119983.85,26781834.2,1414995,45430135,6718968,42726564,4364632,NA,NA,NA
"VanderCook College of Music","IL","Private not-for-profit, 4-year or above","148","42",0,0,0,262272,387773,563147,34800,147440.71,NA,NA,NA
"Vanguard University of Southern California","CA","Private not-for-profit, 4-year or above","1987","303",1251682,0,0,5102602,6778912,5030682,159973,4392802.5,NA,NA,NA
"Vanguard-Sentinel Adult Career and Technology Center","OH","Public, less-than 2-year","53","NULL",0,0,0,NA,NA,NA,NA,118952.23,NA,NA,NA
"Vassar College","NY","Private not-for-profit, 4-year or above","2421","NULL",149731,380146,0,3218391,1846727,3548033,0,2700521,NA,NA,NA
"Vaughn College of Aeronautics and Technology","NY","Private not-for-profit, 4-year or above","1605","11",2004821,0,0,3063152,2970371,2038024,0,4489777.22,NA,NA,NA
"Veeb Nassau County School of Practical Nursing","NY","Public, less-than 2-year","201","NULL",0,0,0,428468,756709,147542,0,682741,NA,NA,NA
"Venango County Area Vocational Technical School","PA","Public, less-than 2-year","63","NULL",0,0,0,230529,394910,106231,0,326670,NA,NA,NA
"Ventura Adult and Continuing Education","CA","Public, less-than 2-year","270","NULL",0,0,0,73693,101505,0,0,445813.17,NA,NA,NA
"Ventura College","CA","Public, 2-year","12928","NULL",65653.01,0,0,856262,711497,38271,0,13210335,NA,NA,NA
"Vermilion Community College","MN","Public, 2-year","712","NULL",0,0,0,805007,935609,236004,0,889215,NA,NA,NA
"Vermont College of Fine Arts","VT","Private not-for-profit, 4-year or above","NULL","366",10000,0,0,0,3505071,0,1726180,NA,NA,NA,NA
"Vermont Law School","VT","Private not-for-profit, 4-year or above","NULL","583",1610433.41,0,0,0,10079355,0,13368012,NA,458334,NA,244954
"Vermont Technical College","VT","Public, 4-year or above","1542","NULL",1937910.23,0,36470,3049477,4005610,1501130,0,2168159,NA,NA,NA
"Vernon College","TX","Public, 2-year","2986","NULL",447225,0,0,2075048,2794109,12044,0,4858253.53,NA,NA,NA
"Victor Valley College","CA","Public, 2-year","11597","NULL",340155,0,214509.59,NA,NA,NA,NA,22364907,NA,NA,NA
"Victoria College","TX","Public, 2-year","4146","NULL",21110,0,0,896028,1280143,18693,0,4931281.11,NA,NA,NA
"Villa Maria College","NY","Private not-for-profit, 4-year or above","477","NULL",345760,0,0,1785699,1652342,378061,0,1731376.47,NA,NA,NA
"Villanova University","PA","Private not-for-profit, 4-year or above","7118","3734",1000309,3566879.22,37542,11224134,30384117,14765480,6865693,3292544.01,NA,NA,NA
"Vincennes University","IN","Public, 4-year or above","19205","NULL",2083549.13,0,0,7888857,9264963,4136141,0,11743303.96,NA,NA,NA
"Virginia Baptist College","VA","Private not-for-profit, 4-year or above","82","24",0,0,0,150045,219662,3500,0,304552.76,NA,NA,NA
"Virginia Beach Theological Seminary","VA","Private not-for-profit, 4-year or above",NA,NA,0,0,0,0,7500,0,0,NA,NA,NA,NA
"Virginia Commonwealth University","VA","Public, 4-year or above","23661","7177",29555400.6,85355835.72,7152901.81,42925408,120251134,26222959,29753543,31668729.02,NA,NA,NA
"Virginia Highlands Community College","VA","Public, 2-year","2505","NULL",720778.64,0,0,NA,NA,NA,NA,3384241.7,NA,NA,NA
"Virginia International University","VA","Private not-for-profit, 4-year or above",NA,NA,0,0,0,3163,227224,0,0,7444,NA,NA,NA
"Virginia Military Institute","VA","Public, 4-year or above","1700","NULL",1000000,0,2750418,2844338,2162873,3435130,0,1174489.47,NA,NA,NA
"Virginia Polytechnic Institute and State University","VA","Public, 4-year or above","24247","7279",50093280.18,113686621.41,18411605.29,35263970,66148712,39700310,5333824,19499102,NA,NA,NA
"Virginia State University","VA","Public, 4-year or above","4498","455",7753827.57,6396572.31,0,12321889,16186799,14366088,345806,13548003.5,NA,NA,NA
"Virginia Union University","VA","Private not-for-profit, 4-year or above","1323","413",3887946,699773,0,3658049,6755306,4549289,157608,4200957,NA,NA,NA
"Virginia University of Lynchburg","VA","Private not-for-profit, 4-year or above","251","23",750000,0,0,722342,1193913,423050,17345,1200489.72,NA,NA,NA
"Virginia Wesleyan College","VA","Private not-for-profit, 4-year or above","1501","NULL",0,0,0,3552143,4091569,5345233,35243,2524870.52,NA,NA,NA
"Virginia Western Community College","VA","Public, 2-year","8632","NULL",309505,0,0,2220601,2990511,74300,0,7900505.29,NA,NA,NA
"Visible Music College","TN","Private not-for-profit, 4-year or above","115","NULL",0,0,0,395123,357309,558256,0,206168,NA,NA,NA
"Viterbo University","WI","Private not-for-profit, 4-year or above","2034","886",1154341.38,0,0,4587582,9106967,4682666,0,1919533,NA,NA,NA
"Volunteer State Community College","TN","Public, 2-year","7664","NULL",356356,0,0,2452531,2504841,43075,0,6574898,NA,NA,NA
"Voorhees College","SC","Private not-for-profit, 4-year or above","468","NULL",2925044,0,0,1898471,1757611,1081744,0,2592172,NA,509636,279296
"Wabash College","IN","Private not-for-profit, 4-year or above","924","NULL",200749,35000,0,2097585,1685205,1828483,0,1032091,NA,NA,NA
"Wabash Valley College","IL","Public, 2-year","4240","NULL",0,0,0,361074,378007,21400,0,1323442,NA,NA,NA
"Wagner College","NY","Private not-for-profit, 4-year or above","1823","457",0,0,0,3945354,5831728,7381407,630679,1788080.68,NA,NA,NA
"Wake Forest University","NC","Private not-for-profit, 4-year or above","4861","2966",26772506,113256611.41,9721529.62,3793302,38871389,6137673,22655635,2256525.69,2058776,765483,980627
"Wake Technical Community College","NC","Public, 2-year","21384","NULL",620529.66,0,0,15285414,20434396,178353,0,29515404.4,NA,NA,NA
"Walla Walla Community College","WA","Public, 2-year","4851","NULL",438971,649800,0,2398234,2741324,101448,0,6172289.21,NA,NA,NA
"Walsh College of Accountancy and Business Administration","MI","Private not-for-profit, 4-year or above","950","1582",0,0,0,1821932,10358834,92319,469045,814474.92,NA,51850,NA
"Walsh University","OH","Private not-for-profit, 4-year or above","2325","518",0,0,0,4983668,10102225,3318411,935285,2877353.13,NA,NA,NA
"Walters State Community College","TN","Public, 2-year","6005","NULL",0,0,0,NA,NA,NA,NA,9304281.97,NA,NA,NA
"Warner Pacific College","OR","Private not-for-profit, 4-year or above","552","NULL",0,0,0,2425961,4438602,766654,30389,2259747.35,NA,NA,NA
"Warner University","FL","Private not-for-profit, 4-year or above","1035","128",0,0,0,2736750,5655183,1379217,24058,3057941.37,NA,NA,NA
"Warren County Career Center","OH","Public, 2-year","503","NULL",0,0,0,180126,344403,49284,0,246601,NA,NA,NA
"Warren County Community College","NJ","Public, 2-year","2573","NULL",0,0,0,196620,343131,0,0,1649907,NA,NA,NA
"Warren Wilson College","NC","Private not-for-profit, 4-year or above","824","59",0,0,0,1281838,1394792,1145238,0,1156772,NA,154103,149531
"Warrensburg Area Career Center","MO","Public, less-than 2-year","41","NULL",0,0,0,65113,92053,0,0,94249,NA,NA,NA
"Wartburg College","IA","Private not-for-profit, 4-year or above","1661","NULL",171218,0,0,3458905,3147108,2465326,0,1641962,NA,NA,NA
"Wartburg Theological Seminary","IA","Private not-for-profit, 4-year or above","NULL","115",0,0,0,0,387055,0,0,NA,NA,NA,NA
"Washburn University","KS","Public, 4-year or above","5901","822",2144221,-137578.61,0,9169618,18492370,3459536,2435331,8930001.79,NA,NA,NA
"Washington & Jefferson College","PA","Private not-for-profit, 4-year or above","1362","NULL",15774,0,0,3852543,2950618,5400486,0,1748410.72,NA,NA,NA
"Washington Adventist University","MD","Private not-for-profit, 4-year or above","876","167",0,0,0,2111308,4371565,1624271,146800,1983423,NA,NA,NA
"Washington and Lee University","VA","Private not-for-profit, 4-year or above","1890","318",119796,178483,0,710328,6704234,4600735,3953158,794173,NA,NA,NA
"Washington College","MD","Private not-for-profit, 4-year or above","1467","4",0,5775,0,2961467,2218980,4666173,0,1382432,NA,NA,NA
"Washington County Career Center-Adult Technical Training","OH","Public, 2-year","476","NULL",49997,0,0,NA,NA,NA,NA,417067.3,NA,NA,NA
"Washington County Community College","ME","Public, 2-year","491","NULL",266634.43,0,0,247544,135213,27133,0,914706,NA,NA,NA
"Washington Hospital School of Nursing","PA","Private not-for-profit, 2-year","68","NULL",0,0,0,160346,277585,12052,0,84560.3,NA,NA,NA
"Washington Saratoga Warren Hamilton Essex BOCES-Practical Nursing Program","NY","Public, less-than 2-year","30","NULL",0,0,0,67682,102945,12000,0,87065,NA,NA,NA
"Washington State Community College","OH","Public, 2-year","1565","NULL",740240.51,0,0,1069150,1306531,6791,0,2327487.17,NA,NA,NA
"Washington State University","WA","Public, 4-year or above","23867","5216",49638887.89,86625543.71,2050997.31,39194204,82331886,48433713,6864004,38468154.22,NA,NA,NA
"Washington University in St Louis","MO","Private not-for-profit, 4-year or above","7401","7184",57638312.79,479007854.12,4504355.08,4923624,48140985,2733709,29114050,4219520.59,NA,NA,NA
"Washtenaw Community College","MI","Public, 2-year","12295","NULL",0,0,0,7112518,9395824,145383,0,12767962.24,NA,NA,NA
"Watkins College of Art Design & Film","TN","Private not-for-profit, 4-year or above","304","NULL",0,0,0,408556,441163,894315,14468,411286.63,NA,NA,NA
"Waubonsee Community College","IL","Public, 2-year","10904","NULL",1472403,0,0,1557476,1643817,11500,0,8117416,NA,NA,NA
"Waukesha County Technical College","WI","Public, 2-year","8692","NULL",-71610,0,0,3423200,5225276,5000,0,4360961,NA,NA,NA
"Wave Leadership College","VA","Private not-for-profit, 2-year","40","NULL",0,0,0,117776,126669,0,0,95569,NA,NA,NA
"Wayland Baptist University","TX","Private not-for-profit, 4-year or above","3980","1403",0,0,0,6685220,18619962,1472704,153964,6203978,NA,NA,NA
"Wayne Community College","NC","Public, 2-year","3720","NULL",450000,0,0,NA,NA,NA,NA,4858327.35,NA,132897,127795
"Wayne County Community College District","MI","Public, 2-year","16310","NULL",427591,0,0,8752533,7326335,0,0,22768451.91,NA,NA,NA
