"agency","subagency","institution","contracts","grants"
"Department of Homeland Security","Office of Health Affairs","Texas A & M University-College Station",453918.23,NA
"Department of Homeland Security","Office of Health Affairs","University of California-San Diego",346875,NA
"Department of Homeland Security","Office of Health Affairs","University of Minnesota-Twin Cities",198615.54,NA
"Department of Homeland Security","Office of the Chief Information Officer","Pardee RAND Graduate School",285626.77,NA
"Department of Homeland Security","Office of the Chief Procurement Officer","California Institute of Technology",237258.03,NA
"Department of Homeland Security","Office of the Chief Procurement Officer","University of Pennsylvania",490427.82,NA
"Department of Homeland Security","Office of the Inspector General","Johns Hopkins University",24647.09,NA
"Department of Homeland Security","Office of the Inspector General","University of Minnesota-Twin Cities",25000,NA
"Department of Homeland Security","Office of the Under Secretary for Management","Pardee RAND Graduate School",2366215.68,NA
"Department of Homeland Security","Office of the Under Secretary for Management","Texas A & M University-College Station",449649,NA
"Department of Homeland Security","Office of the Under Secretary for Science and Technology","Arizona State University-Tempe",151566,NA
"Department of Homeland Security","Office of the Under Secretary for Science and Technology","Auburn University",280566,NA
"Department of Homeland Security","Office of the Under Secretary for Science and Technology","California Institute of Technology",582876,NA
"Department of Homeland Security","Office of the Under Secretary for Science and Technology","Colorado State University-Fort Collins",1191660,NA
"Department of Homeland Security","Office of the Under Secretary for Science and Technology","Duke University",2665117,NA
"Department of Homeland Security","Office of the Under Secretary for Science and Technology","Florida Institute of Technology",1141120,NA
"Department of Homeland Security","Office of the Under Secretary for Science and Technology","George Mason University",19989,NA
"Department of Homeland Security","Office of the Under Secretary for Science and Technology","Georgia State University",-9847.78,NA
"Department of Homeland Security","Office of the Under Secretary for Science and Technology","Indiana University-Bloomington",186438,NA
