Recipient,State,INST_TYPE,LONGITUDE,LATITUDE,COUNTY,Football,Basketball,Fed_Funding_Amt
Spring Hill College,AL,"Private not-for-profit, 4-year or above",-88.138199,30.694751,Mobile County,NA,Southern States Athletic Conference,12547887
Concordia College at Moorhead,MN,"Private not-for-profit, 4-year or above",-96.76749,46.862482,Clay County,Minnesota Intercollegiate Ath Conf,Minnesota Intercollegiate Ath Conf,12539533
Otis College of Art and Design,CA,"Private not-for-profit, 4-year or above",-118.416615,33.956607,Los Angeles County,NA,NA,12529053
Heidelberg University,OH,"Private not-for-profit, 4-year or above",-83.166581,41.114337,Seneca County,Ohio Athletic Conference,Ohio Athletic Conference,12518127
Southeast Technical Institute,SD,"Public, 2-year",-96.780241,43.570446,Minnehaha County,NA,NA,12512940
Morris College,SC,"Private not-for-profit, 4-year or above",-80.346346,33.938707,Sumter County,NA,Other,12512391
Cedar Valley College,TX,"Public, 2-year",-96.763421,32.625686,Dallas County,NA,NA,12495198
Reinhardt University,GA,"Private not-for-profit, 4-year or above",-84.554657,34.318874,Cherokee County,Mid-South Conference,Appalachian Athletic Conference,12484684
Cayuga County Community College,NY,"Public, 2-year",-76.543191,42.943802,Cayuga County,NA,NA,12484379
Jamestown Community College,NY,"Public, 2-year",-79.218862,42.115628,Chautauqua County,NA,NA,12461393
City Colleges of Chicago-Wilbur Wright College,IL,"Public, 2-year",-87.787868,41.958774,Cook County,NA,NA,12443404
Peru State College,NE,"Public, 4-year or above",-95.732731,40.474689,NA,NA,NA,12442483
Occidental College,CA,"Private not-for-profit, 4-year or above",-118.210783,34.126224,Los Angeles County,Southern California Intercoll Ath Conf,Southern California Intercoll Ath Conf,12419020
Elmira College,NY,"Private not-for-profit, 4-year or above",-76.813459,42.0961,Chemung County,NA,Empire Eight,12396619
Coe College,IA,"Private not-for-profit, 4-year or above",-91.657535,41.986383,NA,NA,NA,12378887
Baptist Memorial College of Health Sciences,TN,"Private not-for-profit, 4-year or above",-90.027501,35.138415,Shelby County,NA,NA,12358459
Alderson Broaddus University,WV,"Private not-for-profit, 4-year or above",-80.047728,39.158067,Barbour County,Great Midwest Athletic Conference,Great Midwest Athletic Conference,12341673
North Dakota State College of Science,ND,"Public, 2-year",-96.607896,46.275964,Richland County,NA,NA,12286708
Philander Smith College,AR,"Private not-for-profit, 4-year or above",-92.283015,34.737131,Pulaski County,NA,Gulf Coast Athletic Conference,12282280
Missouri Valley College,MO,"Private not-for-profit, 4-year or above",-93.190236,39.108655,Saline County,Heart of America Athletic Conference,Heart of America Athletic Conference,12270835
Moberly Area Community College,MO,"Public, 2-year",-92.455064,39.418607,Randolph County,NA,NA,12257752
Edgecombe Community College,NC,"Public, 2-year",-77.571786,35.879867,Edgecombe County,NA,NA,12246098
Schreiner University,TX,"Private not-for-profit, 4-year or above",-99.131076,30.03108,Kerr County,NA,Southern Collegiate Athletic Conference,12243219
Central Maine Community College,ME,"Public, 2-year",-70.235498,44.134346,Androscoggin County,NA,NA,12240521
Washington College,MD,"Private not-for-profit, 4-year or above",-76.06878,39.217329,Kent County,NA,Centennial Conference,12223441
Bluefield State College,WV,"Public, 4-year or above",-81.235428,37.26688,Mercer County,NA,Independent Southeast Region,12192846
Central Lakes College-Brainerd,MN,"Public, 2-year",-94.21524,46.346006,Crow Wing County,NA,NA,12173805
Hagerstown Community College,MD,"Public, 2-year",-77.667379,39.631009,Washington County,NA,NA,12165255
Jarvis Christian College,TX,"Private not-for-profit, 4-year or above",-95.181513,32.587942,Wood County,NA,Red River Athletic Conference,12162013
College of Saint Benedict,MN,"Private not-for-profit, 4-year or above",-94.319888,45.561792,Stearns County,Minnesota Intercollegiate Ath Conf,Minnesota Intercollegiate Ath Conf,12157698
Saint Martin's University,WA,"Private not-for-profit, 4-year or above",-122.815441,47.04075,Thurston County,NA,Great Northwest Athletic Conference,12154606
St Mary's College of Maryland,MD,"Public, 4-year or above",-76.425706,38.188615,St. Mary'S County,NA,Capital Athletic Conference,12136428
Coahoma Community College,MS,"Public, 2-year",-90.570304,34.255626,Coahoma County,NA,NA,12119528
Rust College,MS,"Private not-for-profit, 4-year or above",-89.446999,34.776862,Marshall County,NA,Independent Mid-South Region,12114391
National Park College,AR,"Public, 2-year",-93.117111,34.512731,Garland County,NA,NA,12107489
Newman University,KS,"Private not-for-profit, 4-year or above",-97.37768,37.672643,Sedgwick County,NA,Heartland Conference,12105436
Denison University,OH,"Private not-for-profit, 4-year or above",-82.520625,40.072582,Licking County,North Coast Athletic Conference,North Coast Athletic Conference,12096317
Columbia State Community College,TN,"Public, 2-year",-87.101917,35.616757,Maury County,NA,NA,12091847
University of the Southwest,NM,"Private not-for-profit, 4-year or above",-103.186948,32.775496,Lea County,NA,Red River Athletic Conference,12091791
Moorpark College,CA,"Public, 2-year",-118.836624,34.300018,Ventura County,NA,NA,12077326
Barton College,NC,"Private not-for-profit, 4-year or above",-77.913805,35.735463,Wilson County,NA,Conference Carolinas,12067076
Walla Walla Community College,WA,"Public, 2-year",-118.276505,46.078557,Walla Walla County,NA,NA,12065853
Thomas More College,KY,"Private not-for-profit, 4-year or above",-84.568923,39.022963,Kenton County,Presidents' Athletic Conference,Presidents' Athletic Conference,12014509
Anna Maria College,MA,"Private not-for-profit, 4-year or above",-71.918961,42.33055,Worcester County,Eastern Collegiate Football Conference,Great Northeast Athletic Conference,11988580
Massachusetts College of Liberal Arts,MA,"Public, 4-year or above",-73.102817,42.691361,Berkshire County,NA,Massachusetts State College Ath Assoc,11975817
Evergreen Valley College,CA,"Public, 2-year",-121.766686,37.301736,Santa Clara County,NA,NA,11942701
Oberlin College,OH,"Private not-for-profit, 4-year or above",-82.221786,41.29474,Lorain County,North Coast Athletic Conference,North Coast Athletic Conference,11907268
Arkansas Baptist College,AR,"Private not-for-profit, 4-year or above",-92.290555,34.734751,Pulaski County,NA,NA,11894489
Rocky Mountain College,MT,"Private not-for-profit, 4-year or above",-108.553899,45.796765,Yellowstone County,Frontier Conference,Frontier Conference,11889306
Texas Chiropractic College Foundation Inc,TX,"Private not-for-profit, 4-year or above",-95.15012,29.66482,Harris County,NA,NA,11883710
Stillman College,AL,"Private not-for-profit, 4-year or above",-87.585242,33.199228,Tuscaloosa County,NA,Southern States Athletic Conference,11880583
Norco College,CA,"Public, 2-year",-117.568201,33.91675,Riverside County,NA,NA,11866218
Leeward Community College,HI,"Public, 2-year",-157.983771,21.39267,Honolulu County,NA,NA,11854961
Albion College,MI,"Private not-for-profit, 4-year or above",-84.746088,42.244603,Calhoun County,Michigan Intercollegiate Athletic Assoc,Michigan Intercollegiate Athletic Assoc,11850365
Roane State Community College,TN,"Public, 2-year",-84.620766,35.881291,Roane County,NA,NA,11806126
St. Thomas Aquinas College,NY,"Private not-for-profit, 4-year or above",-73.934182,41.041126,Rockland County,NA,East Coast Conference,11803937
Cumberland University,TN,"Private not-for-profit, 4-year or above",-86.29966,36.204243,Wilson County,Mid-South Conference,Mid-South Conference,11801786
Central College,IA,"Private not-for-profit, 4-year or above",-92.922199,41.401539,Marion County,Iowa Intercollegiate Athletic Conf,Iowa Intercollegiate Athletic Conf,11796162
Bishop State Community College,AL,"Public, 2-year",-88.056982,30.693972,Mobile County,NA,NA,11789754
Chabot College,CA,"Public, 2-year",-122.106969,37.642513,Alameda County,NA,NA,11754677
Massachusetts Maritime Academy,MA,"Public, 4-year or above",-70.623953,41.740538,Barnstable County,New England Football Conference,NA,11752950
Clover Park Technical College,WA,"Public, 4-year or above",-122.497873,47.176084,Pierce County,NA,NA,11747267
Northeastern Oklahoma A&M College,OK,"Public, 2-year",-94.864828,36.878213,Ottawa County,NA,NA,11735415
Grayson College,TX,"Public, 2-year",-96.633557,33.706482,Grayson County,NA,NA,11727142
Southwestern University,TX,"Private not-for-profit, 4-year or above",-97.664637,30.635194,Williamson County,Southern Collegiate Athletic Conference,Southern Collegiate Athletic Conference,11726122
Wheelock College,MA,"Private not-for-profit, 4-year or above",-71.10582,42.342503,Suffolk County,NA,New England Collegiate Conference,11717562
Juniata College,PA,"Private not-for-profit, 4-year or above",-78.015204,40.499511,Huntingdon County,Centennial Conference,Landmark Conference,11707627
Cuesta College,CA,"Public, 2-year",-120.742235,35.331276,San Luis Obispo County,NA,NA,11693263
Scottsdale Community College,AZ,"Public, 2-year",-111.885186,33.51135,Maricopa County,NA,NA,11666645
Talladega College,AL,"Private not-for-profit, 4-year or above",-86.113675,33.434258,NA,NA,NA,11664756
Rockford University,IL,"Private not-for-profit, 4-year or above",-89.019536,42.270639,Winnebago County,Northern Athletics Collegiate Conference,Northern Athletics Collegiate Conference,11655114
Vermont Technical College,VT,"Public, 4-year or above",-72.605179,43.939321,Orange County,NA,NA,11655059
Connors State College,OK,"Public, 2-year",-95.319541,35.492873,Muskogee County,NA,NA,11619289
Union College,NY,"Private not-for-profit, 4-year or above",-73.928498,42.817578,Schenectady County,Upstate Collegiate Athletic Association,Upstate Collegiate Athletic Association,11600958
Catawba College,NC,"Private not-for-profit, 4-year or above",-80.486575,35.692445,Rowan County,South Atlantic Conference,South Atlantic Conference,11597699
Bevill State Community College,AL,"Public, 2-year",-87.265034,33.835785,Walker County,NA,NA,11593753
Austin College,TX,"Private not-for-profit, 4-year or above",-96.598772,33.646307,Grayson County,Southern Collegiate Athletic Conference,Southern Collegiate Athletic Conference,11574513
Olivet College,MI,"Private not-for-profit, 4-year or above",-84.922864,42.440908,Eaton County,Michigan Intercollegiate Athletic Assoc,Michigan Intercollegiate Athletic Assoc,11559056
Oxnard College,CA,"Public, 2-year",-119.15549,34.164899,Ventura County,NA,NA,11553493
Northshore Technical Community College,LA,"Public, 2-year",-89.845279,30.759099,Washington Parish,NA,NA,11552865
Gateway Community College,CT,"Public, 2-year",-72.927682,41.303785,New Haven County,NA,NA,11501017
Southern Crescent Technical College,GA,"Public, 2-year",-84.291662,33.255438,Spalding County,NA,NA,11496397
Northeast Iowa Community College,IA,"Public, 2-year",-91.865647,43.174954,Winneshiek County,NA,NA,11482478
Wilmington College,OH,"Private not-for-profit, 4-year or above",-83.817271,39.441097,Clinton County,Ohio Athletic Conference,Ohio Athletic Conference,11476519
The College of Wooster,OH,"Private not-for-profit, 4-year or above",-81.934674,40.81046,Wayne County,North Coast Athletic Conference,North Coast Athletic Conference,11464331
Mineral Area College,MO,"Public, 2-year",-90.481847,37.845199,St. Francois County,NA,NA,11440537
Virginia Military Institute,VA,"Public, 4-year or above",-79.437067,37.7896,Lexington City,Big South Conference,Big South Conference,11414943
Oregon College of Oriental Medicine,OR,"Private not-for-profit, 4-year or above",-122.671099,45.524121,Multnomah County,NA,NA,11393191
Monmouth College,IL,"Private not-for-profit, 4-year or above",-90.637909,40.91459,Warren County,Midwest Conference,Midwest Conference,11381500
Everett Community College,WA,"Public, 2-year",-122.204736,48.006626,Snohomish County,NA,NA,11354477
Vernon College,TX,"Public, 2-year",-99.319094,34.159298,Orange County,NA,NA,11320217
Kettering College,OH,"Private not-for-profit, 4-year or above",-84.191583,39.694072,Montgomery County,NA,NA,11308523
Irvine Valley College,CA,"Public, 2-year",-117.778575,33.675079,Orange County,NA,NA,11293902
Cumberland County College,NJ,"Public, 2-year",-75.054685,39.438417,Cumberland County,NA,NA,11292463
Allan Hancock College,CA,"Public, 2-year",-120.421486,34.942979,NA,NA,NA,11291077
Huntington University,IN,"Private not-for-profit, 4-year or above",-85.499624,40.89907,Huntington County,NA,Crossroads League,11290587
Northeast Community College,NE,"Public, 2-year",-97.396578,42.048647,Madison County,NA,NA,11284913
Judson University,IL,"Private not-for-profit, 4-year or above",-88.289708,42.05896,Kane County,NA,Chicagoland Collegiate Athletic Conf,11284652
Warner Pacific College,OR,"Private not-for-profit, 4-year or above",-122.594221,45.50632,Multnomah County,NA,Cascade Collegiate Conference,11282160
Warner Pacific College,OR,"Private not-for-profit, 4-year or above",-122.594221,45.50632,Multnomah County,NA,Cascade Collegiate Conference,11282160
Warner Pacific College Adult Degree Program,OR,"Private not-for-profit, 4-year or above",-122.56253,45.503764,Multnomah County,NA,NA,11282160
Warner Pacific College Adult Degree Program,OR,"Private not-for-profit, 4-year or above",-122.56253,45.503764,Multnomah County,NA,NA,11282160
Holy Names University,CA,"Private not-for-profit, 4-year or above",-122.18717,37.802654,Alameda County,NA,Pacific West Conference,11276895
Northwest Indian College,WA,"Public, 4-year or above",-122.614656,48.794131,Whatcom County,NA,NA,11275202
College America,AZ,"Private not-for-profit, 4-year or above",-111.657673,35.194495,Coconino County,NA,NA,11274753
Spartanburg Community College,SC,"Public, 2-year",-81.989811,34.974587,Spartanburg County,NA,NA,11274215
University of Holy Cross,LA,"Private not-for-profit, 4-year or above",-89.997055,29.912539,Orleans Parish,NA,NA,11270378
Clarke University,IA,"Private not-for-profit, 4-year or above",-90.691512,42.508619,Dubuque County,NA,Heart of America Athletic Conference,11262660
Rosemont College,PA,"Private not-for-profit, 4-year or above",-75.32925,40.033417,Montgomery County,NA,Colonial States Athletic Conference,11242203
Greenville College,IL,"Private not-for-profit, 4-year or above",-89.409178,38.894751,Bond County,Upper Midwest Athletic Conference,St. Louis Intercollegiate Ath Conf,11229049
Colgate University,NY,"Private not-for-profit, 4-year or above",-75.535,42.8188,Madison County,Patriot League,Patriot League,11207359
Waubonsee Community College,IL,"Public, 2-year",-88.459925,41.795955,Kane County,NA,NA,11204987
University of Hawaii Maui College,HI,"Public, 4-year or above",-156.479854,20.890561,Maui County,NA,NA,11197660
