"source","target","value"
"Sistema Universitario Ana G Mendez","Science, Engineering, and Mathematics",1430310
"Sistema Universitario Ana G Mendez","Refugee and Entrant Assistance",471669
"Sistema Universitario Ana G Mendez","Individuals with Disabilities",158356.65
"SIT Graduate Institute","Academic Exchange Programs",36912188
"SIT Graduate Institute","Humanitarian Assistance",27650810
"SIT Graduate Institute","Foreign Policy",4723747
"SIT Graduate Institute","PROFESSIONAL SERVICES",1443867.54
"SIT Graduate Institute","Homeland Security",100000
"Sitting Bull College","Education",4621078
"Sitting Bull College","Infrastructure",1431394
"Sitting Bull College","Tribal Programs",501727
"Sitting Bull College","Agriculture and Farming R&D",325000
"Sitting Bull College","Regional Development",129000
"Skagit Valley College","Childcare and Welfare",4804061
"Skagit Valley College","Education",811152.75
"Skidmore College","Science, Engineering, and Mathematics",2092546
"Skidmore College","Fire Suppression Assistance Programs",1311489
"Skidmore College","Medical R&D",419457
"Skidmore College","Early Childhood Programs",73878
"Skyline College","Education",1296234
"Slippery Rock University of Pennsylvania","Science, Engineering, and Mathematics",109470
"Slippery Rock University of Pennsylvania","Veterans Programs",70877
"Slippery Rock University of Pennsylvania","Humanities and the Arts",50000
"Slippery Rock University of Pennsylvania","Childcare and Welfare",28587
"Smith College","Science, Engineering, and Mathematics",1123060.98
"Smith College","Education",669594
"Smith College","Social Wellness and Development",99357
"Smith College","Historic Sites",37822
"Snead State Community College","Education",616537
"Snow College","Education",738832
"Snow College","Environment",44718
"Solano Community College","Education",242136
"Somerset Community College","Education",872446
"Somerset Community College","Refugee and Entrant Assistance",472200
"Somerset Community College","Childcare and Welfare",140140
"Somerset Community College","EDUCATION & TRAINING SERVICES",50460
"Sonoma State University","Education",8463695
"Sonoma State University","Employment Programs",549129.92
"Sonoma State University","Science, Engineering, and Mathematics",402506.47
"Sonoma State University","Childcare and Welfare",259999
"Sonoma State University","Research Support Programs",242136
"South Arkansas Community College","Social Wellness and Development",550000
"South Arkansas Community College","Education",288912
"South Arkansas Community College","Occupational Safety",117816
"South Carolina State University","Agriculture and Farming R&D",7400508.81
"South Carolina State University","Education",7092812.35
"South Carolina State University","Medical R&D",1261263
"South Carolina State University","Employment Programs",750000
"South Carolina State University","Historic Sites",500000
"South Carolina Universities Research and Education Foundation ","Energy Programs",947527
"South Central College","Education",242136
"South Dakota School of Mines and Technology","Energy Programs",3176144.92
"South Dakota School of Mines and Technology","Education",2916356
"South Dakota School of Mines and Technology","Science, Engineering, and Mathematics",2058984
"South Dakota School of Mines and Technology","MINING R&D",250000
"South Dakota School of Mines and Technology","Regional Development",149821
"South Dakota State University","Science, Engineering, and Mathematics",5333948
"South Dakota State University","Agriculture and Farming R&D",3961237.33
"South Dakota State University","Energy Programs",2815421.2
"South Dakota State University","Nursing and Health Professionals",1689270
"South Dakota State University","Education",1370537
"South Florida State College","Education",1157906
"South Florida State College","Social Wellness and Development",44534
"South Georgia Technical College","Education",600000
"South Georgia Technical College","Regional Development",146841
"South Louisiana Community College","EDUCATION & TRAINING SERVICES",1223892
"South Louisiana Community College","Education",1144974
"South Mountain Community College","Education",529511
"South Orange County Community College District","Education",1538434
"South Piedmont Community College","Education",349767
"South Plains College","Education",895408
"South Puget Sound Community College","Education",450189
"South Seattle College","Education",1620361
"South Texas College","Education",612415
"South Texas College","Childcare and Welfare",464900
"South Texas College","Regional Development",100000
"South Texas College","Information Services and Records Preservation",95000
"Southeast Arkansas College","Education",254356
"Southeast Community College Area","Education",1043282
"Southeast Community College Area","Childcare and Welfare",207401
"Southeast Community College Area","Research Support Programs",149563
"Southeast Community College Area","Addiction and Recovery",49832
"Southeast Kentucky Community and Technical College","Education",627661
"Southeast Missouri State University","Education",349511
"Southeast Missouri State University","Research Support Programs",242136
"Southeast Missouri State University","Regional Development",51000
"Southeastern Community College","Education",1098889
"Southeastern Community College","Social Wellness and Development",95028
"Southeastern Illinois College","Education",315110
"Southeastern Louisiana University","Education",3760860.25
"Southeastern Louisiana University","Homelessness",145496.62
"Southeastern Oklahoma State University","Education",3495841.72
"Southeastern Oklahoma State University","Business",1576298
"Southern Arkansas University Main Campus","Education",1491260
"Southern Arkansas University Tech","Disaster Response and Assistance",20000
"Southern California University of Health Sciences","Medical R&D",437831
"Southern College of Optometry","EDUCATION & TRAINING SERVICES",37446
"Southern Connecticut State University","Nursing and Health Professionals",856332
"Southern Connecticut State University","Public Health",719363
"Southern Connecticut State University","Medical R&D",394859
"Southern Connecticut State University","Science, Engineering, and Mathematics",54594
"Southern Connecticut State University","Research Support Programs",49161
"Southern Illinois University-Carbondale","Medical R&D",6454112
"Southern Illinois University-Carbondale","Healthcare Services",4027115
"Southern Illinois University-Carbondale","Childcare and Welfare",3490194
"Southern Illinois University-Carbondale","Education",2967422
"Southern Illinois University-Carbondale","Nursing and Health Professionals",1371281
"Southern Illinois University-Edwardsville","Childcare and Welfare",12214773
"Southern Illinois University-Edwardsville","Education",4173895
"Southern Illinois University-Edwardsville","Medical R&D",965974
"Southern Illinois University-Edwardsville","Addiction and Recovery",612349
"Southern Illinois University-Edwardsville","Early Childhood Programs",82398
"Southern Illinois University-System Office","EDUCATION & TRAINING SERVICES",130630.62
"Southern Illinois University-System Office","SPECIAL STUDIES - NOT R&D",49424
"Southern Maine Community College","Education",242136
"Southern Maine Community College","Fire Suppression Assistance Programs",204391
"Southern Maine Community College","Disaster Response and Assistance",20000
"Southern Methodist University","Science, Engineering, and Mathematics",5987721
"Southern Methodist University","Education",3290516.35
"Southern Methodist University","Medical R&D",2499955
"Southern Methodist University","HOUSEKEEPING SERVICES",2275768.7
"Southern Methodist University","PROFESSIONAL SERVICES",2058662.84
"Southern Nazarene University","Education",247158.09
"Southern Nazarene University","Research Support Programs",241903
"Southern Oregon University","Education",301040
"Southern Oregon University","Research Support Programs",254243
"Southern Oregon University","Science, Engineering, and Mathematics",123262.25
"Southern Oregon University","Environment",85804.09
"Southern Oregon University","Tribal Programs",50000
"Southern Regional Technical College","Education",275155
"Southern University and A & M College","Education",10452677.83
"Southern University and A & M College","Science, Engineering, and Mathematics",5532443
"Southern University and A & M College","Addiction and Recovery",2500000
"Southern University and A & M College","Food and Nutrition",299376
"Southern University and A & M College","PROFESSIONAL SERVICES",265150.04
"Southern University at New Orleans","Education",6330458.87
"Southern University at New Orleans","Science, Engineering, and Mathematics",416350
"Southern University at New Orleans","EDUCATION & TRAINING SERVICES",330499.93
"Southern University at Shreveport","Education",7367707
"Southern Utah University","Childcare and Welfare",5119331
"Southern Utah University","Environment",1437180.37
"Southern Utah University","Education",1090259.15
