"source","target","value"
"Catholic University of America","Medical R&D",937984
"Catholic University of America","Medical R&D (Infectious Diseases)",937186
"Catholic University of America","Individuals with Disabilities",924934
"Catholic University of America","EDUCATION & TRAINING SERVICES",283115.9
"Cattaraugus Allegany BOCES-Practical Nursing Program","Education",207205
"Cazenovia College","Education",324127
"Cedar Valley College","Education",467126
"Centenary University","Social Wellness and Development",300000
"Central Alabama Community College","Education",1141959.03
"Central Arizona College","Education",1340197
"Central Arizona College","Childcare and Welfare",100182
"Central Carolina Community College","Education",1698211
"Central Carolina Technical College","Education",1125573.98
"Central College","Education",1697164
"Central Community College","Nursing and Health Professionals",2378471
"Central Community College","Education",272496
"Central Connecticut State University","Education",5513181.35
"Central Connecticut State University","Science, Engineering, and Mathematics",279941
"Central Connecticut State University","Occupational Safety",71160.4
"Central Connecticut State University","Addiction and Recovery",57742
"Central Connecticut State University","Environment",9999.86
"Central Georgia Technical College","Education",732648
"Central Georgia Technical College","Veterans Programs",300000
"Central Georgia Technical College","LEASE & RENTAL OF BUILDINGS",275464
"Central Georgia Technical College","Occupational Safety",163781
"Central Georgia Technical College","Childcare and Welfare",127984
"Central Lakes College-Brainerd","Education",1774369
"Central Lakes College-Brainerd","Agriculture and Farming",14303
"Central Louisiana Technical Community College","EDUCATION & TRAINING SERVICES",395868.26
"Central Maine Community College","Education",309836
"Central Michigan University","Wetland Preservation",2044703
"Central Michigan University","Medical R&D",1565059
"Central Michigan University","Energy Programs",1221000
"Central Michigan University","Education",900522
"Central Michigan University","Science, Engineering, and Mathematics",789723
"Central New Mexico Community College","Education",514632
"Central Oregon Community College","Education",450000
"Central Piedmont Community College","Education",1885769
"Central State University","Education",4473118
"Central State University","Agriculture and Farming R&D",949516.91
"Central State University","Science, Engineering, and Mathematics",284684
"Central State University","Historic Sites",20000
"Central Texas College","EDUCATION & TRAINING SERVICES",6591516.6
"Central Texas College","PROFESSIONAL SERVICES",26262.18
"Central Virginia Community College","Education",449580
"Central Washington University","Education",3256756.09
"Central Washington University","Refugee and Entrant Assistance",1089494.05
"Central Washington University","Science, Engineering, and Mathematics",416469.82
"Central Washington University","Environmental R&D",359202
"Central Washington University","Research Support Programs",242136
"Central Wyoming College","Education",1054252
"Central Wyoming College","Tribal Programs",50000
"Central Wyoming College","Regional Development",40000
"Central Wyoming College","Environment",2000
"Centralia College","Education",1090891
"Century College","Education",1994514.71
"Century College","Addiction and Recovery",125000
"Chadron State College","Education",539454
