source,target,value,type
National Climate Change and Wildlife Science Center,University of Arizona,1436083.87,grant
National Climate Change and Wildlife Science Center,North Carolina State University at Raleigh,1382071.92,grant
National Climate Change and Wildlife Science Center,University of Washington,1243059,grant
National Cooperative Geologic Mapping ,University of Nevada-Reno,178561.1,grant
National Cooperative Geologic Mapping ,University of Wisconsin-Madison,172298,grant
National Cooperative Geologic Mapping ,Colorado School of Mines,171912.5,grant
National Cooperative Geologic Mapping ,Highlands College of Montana Tech,167796.1,grant
National Cooperative Geologic Mapping ,Montana Tech of the University of Montana,167796.1,grant
National Ebola Training and Education Center (NETEC),Emory University-Oxford College,5422147,grant
National Estuary Program,University of Southern Maine,699180,grant
National Estuary Program,Ocean County College,615000,grant
National Estuary Program,Louisiana Universities Marine Consortium,600000,grant
National Estuary Program,University of New Hampshire-Main Campus,600000,grant
"National Food Safety Training, Education, Extension, Outreach, and Technical Assistance Competitive Grants Program ",University of Florida,2562002,grant
"National Food Safety Training, Education, Extension, Outreach, and Technical Assistance Competitive Grants Program ",University of Vermont,1599594,grant
"National Food Safety Training, Education, Extension, Outreach, and Technical Assistance Competitive Grants Program ",Oregon State University,799998,grant
"National Food Safety Training, Education, Extension, Outreach, and Technical Assistance Competitive Grants Program ",Iowa State University,799757,grant
"National Food Safety Training, Education, Extension, Outreach, and Technical Assistance Competitive Grants Program ",University of Minnesota-Twin Cities,300000,grant
National Food Service Management Institute Administration and Staffing Grant,University of Mississippi,4991851.51,grant
National Geological and Geophysical Data Preservation ,University of Kansas,79516.81,grant
National Geological and Geophysical Data Preservation ,University of Arizona,59504.42,grant
National Geological and Geophysical Data Preservation ,Western Michigan University,49394,grant
National Geological and Geophysical Data Preservation ,University of Delaware,38923,grant
National Geological and Geophysical Data Preservation ,New Mexico Institute of Mining and Technology,36974.65,grant
National Geospatial Program: Building The National Map ,University of Alaska Anchorage,102586,grant
National Ground-Water Monitoring Network,University of Wisconsin-Madison,198089,grant
National Ground-Water Monitoring Network,University of Delaware,86347,grant
National Ground-Water Monitoring Network,Indiana University-Bloomington,82288,grant
National Ground-Water Monitoring Network,University of Iowa,19997,grant
National Ground-Water Monitoring Network,New Mexico Institute of Mining and Technology,14750.28,grant
National Health Service Corps,University of Nevada-Reno,500000,grant
National Health Service Corps,University of Kentucky,382500,grant
National Health Service Corps,Oregon Health & Science University,300000,grant
National Health Service Corps,University of Wisconsin-Madison,300000,grant
National Health Service Corps,University of Hawaii at Manoa,256500,grant
National Heritage Area Federal Financial Assistance,Middle Tennessee State University,436000,grant
National Heritage Area Federal Financial Assistance,University of North Alabama,327720,grant
National Highway Traffic Safety Administration (NHTSA) Discretionary Safety Grants and Cooperative Agreements ,East Carolina University,196000,grant
National Historical Publications and Records Grants,University of Virginia,670905.67,grant
National Historical Publications and Records Grants,University of California-Merced,308900,grant
National Historical Publications and Records Grants,University of North Carolina at Greensboro,294603,grant
National Historical Publications and Records Grants,University of Georgia,256280,grant
National Historical Publications and Records Grants,Purdue University-Main Campus,250000,grant
"National Institute of Justice Research, Evaluation, and Development Project Grants",Pardee RAND Graduate School,10512854.76,research
"National Institute of Justice Research, Evaluation, and Development Project Grants",Johns Hopkins University,3898195,research
"National Institute of Justice Research, Evaluation, and Development Project Grants",University of Virginia,3223800.13,research
"National Institute of Justice Research, Evaluation, and Development Project Grants",University of Pittsburgh-Pittsburgh Campus,2701337,research
"National Institute of Justice Research, Evaluation, and Development Project Grants",West Virginia University,2010817.77,research
National Institute of Justice W.E.B. DuBois Fellowship Program,University of Illinois at Urbana-Champaign,249425,research
National Institute of Justice W.E.B. DuBois Fellowship Program,Rowan University,248077,research
National Institute of Justice W.E.B. DuBois Fellowship Program,University of South Florida,248077,research
National Institute of Justice W.E.B. DuBois Fellowship Program,Pardee RAND Graduate School,99517,research
National Institute of Justice W.E.B. DuBois Fellowship Program,Indiana University-Bloomington,77768,research
National Leadership Grants,Indiana University-Bloomington,1363823,grant
National Leadership Grants,University of California-Berkeley,857616,grant
National Leadership Grants,University of Washington,683684.42,grant
National Leadership Grants,University of Notre Dame,619283,grant
National Leadership Grants,Simmons College,568672,grant
National Nuclear Security Administration (NNSA) Minority Serving Institutions (MSI) Program,Norfolk State University,4345440.85,research
National Nuclear Security Administration (NNSA) Minority Serving Institutions (MSI) Program,Florida Agricultural and Mechanical University,3007923.21,research
National Nuclear Security Administration (NNSA) Minority Serving Institutions (MSI) Program,The University of Texas at El Paso,2997877.56,research
National Nuclear Security Administration (NNSA) Minority Serving Institutions (MSI) Program,North Carolina A & T State University,2427603.44,research
National Oceanic and Atmospheric Administration (NOAA) Cooperative Institutes,University of Colorado Boulder,51542097.85,grant
National Oceanic and Atmospheric Administration (NOAA) Cooperative Institutes,University of Oklahoma-Norman Campus,28894996,grant
National Oceanic and Atmospheric Administration (NOAA) Cooperative Institutes,University of Maryland-College Park,25197040,grant
National Oceanic and Atmospheric Administration (NOAA) Cooperative Institutes,University of Miami,23140881,grant
National Oceanic and Atmospheric Administration (NOAA) Cooperative Institutes,University of Washington,23028616.16,grant
"National Park Service Conservation, Protection, Outreach, and Education",University of Massachusetts-Lowell,451000,grant
"National Park Service Conservation, Protection, Outreach, and Education",Delta State University,340220,grant
"National Park Service Conservation, Protection, Outreach, and Education",Humboldt State University,110133.94,grant
"National Park Service Conservation, Protection, Outreach, and Education",Kutztown University of Pennsylvania,75000,grant
"National Park Service Conservation, Protection, Outreach, and Education",University of Colorado Denver/Anschutz Medical Campus,55000,grant
National Research Service Award in Primary Care Medicine,SUNY Buffalo State,416238,grant
National Research Service Award in Primary Care Medicine,University of California-Davis,416238,grant
National Research Service Award in Primary Care Medicine,University of California-Los Angeles,416238,grant
National Research Service Award in Primary Care Medicine,Harvard University,416237,grant
National Research Service Award in Primary Care Medicine,Case Western Reserve University,416236,grant
National Research Service Awards Health Services Research Training,Yeshiva University,731240,grant
National Research Service Awards Health Services Research Training,University of Washington,540130,grant
National Research Service Awards Health Services Research Training,New York University,538374,grant
National Research Service Awards Health Services Research Training,Johns Hopkins University,489659,grant
National Research Service Awards Health Services Research Training,University of Chicago,440636,grant
National Resource Centers Program for Foreign Language and Area Studies or Foreign Language and International Studies Program and Foreign Language and Area Studies Fellowship Program,Indiana University-Bloomington,4341944,grant
National Resource Centers Program for Foreign Language and Area Studies or Foreign Language and International Studies Program and Foreign Language and Area Studies Fellowship Program,University of Wisconsin-Madison,3980896,grant
National Resource Centers Program for Foreign Language and Area Studies or Foreign Language and International Studies Program and Foreign Language and Area Studies Fellowship Program,University of California-Berkeley,3859293,grant
National Resource Centers Program for Foreign Language and Area Studies or Foreign Language and International Studies Program and Foreign Language and Area Studies Fellowship Program,University of Washington,3351962,grant
National Resource Centers Program for Foreign Language and Area Studies or Foreign Language and International Studies Program and Foreign Language and Area Studies Fellowship Program,University of Michigan-Ann Arbor,3225387,grant
National Service and Civic Engagement Research Competition,Indiana University-Bloomington,293381,research
National Service and Civic Engagement Research Competition,University of Pittsburgh-Pittsburgh Campus,159999,research
National Service and Civic Engagement Research Competition,Drexel University,159983,research
National Service and Civic Engagement Research Competition,Virginia Polytechnic Institute and State University,159705,research
National Service and Civic Engagement Research Competition,California State University-San Marcos,150000,research
National Urban Search and Rescue (US&R) Response System,Texas A & M University-College Station,3263088,grant
National Wetlands Inventory,Saint Mary's University of Minnesota,205012,grant
National Wetlands Inventory,University of Maryland-College Park,130174,grant
National Wetlands Inventory,The University of Montana,98846,grant
National Wildlife Refuge System Enhancements,Texas State University,24115.67,grant
National Wildlife Refuge System Enhancements,Rutgers University-New Brunswick,20014,grant
"Native American Community Research, Demonstration, and Pilot Projects",Aaniiih Nakoda College,325000,grant
Native American Employment and Training,American Indian OIC Inc,250182,grant
Native American Employment and Training,Little Big Horn College,240587,grant
Native American Graves Protection and Repatriation Act,University of Oklahoma-Norman Campus,89782.76,grant
Native American Graves Protection and Repatriation Act,Texas A & M University-College Station,88993,grant
Native American Graves Protection and Repatriation Act,University of Iowa,87568,grant
Native American Graves Protection and Repatriation Act,University of Colorado Boulder,74659,grant
Native American Graves Protection and Repatriation Act,University of Missouri-Columbia,32000,grant
Native American Programs,Nebraska Indian Community College,400000,grant
Native American Programs,Ilisagvik College,317850,grant
Native American Programs,Aaniiih Nakoda College,300000,grant
Native American Programs,Bay Mills Community College,104762,grant
Native Hawaiian Education,University of Hawaii at Manoa,7236034.75,grant
Native Hawaiian Education,University of Hawaii at Hilo,1394506,grant
Native Hawaiian Education,University of Alaska Fairbanks,321743,grant
"Natural Resource Damage Assessment, Restoration and Implementation",Humboldt State University,316724,grant
"Natural Resource Damage Assessment, Restoration and Implementation",Virginia Polytechnic Institute and State University,47441.92,grant
Natural Resource Stewardship,New Mexico Institute of Mining and Technology,797000,grant
Natural Resource Stewardship,University of Michigan-Ann Arbor,149018.8,grant
Natural Resource Stewardship,Missouri State University-Springfield,124119,grant
Natural Resource Stewardship,Boston University,114840,grant
Natural Resource Stewardship,East Stroudsburg University of Pennsylvania,114543,grant
NATURAL RESOURCES/CONSERVATION- FISHERIES RESOURCES MANAGEMENT,University of Delaware,559878.2,contract
NATURAL RESOURCES/CONSERVATION- FISHERIES RESOURCES MANAGEMENT,University of Georgia,458360,contract
NATURAL RESOURCES/CONSERVATION- FISHERIES RESOURCES MANAGEMENT,University of California-Davis,189124.15,contract
NATURAL RESOURCES/CONSERVATION- FISHERIES RESOURCES MANAGEMENT,University of California-Santa Cruz,19036,contract
NATURAL RESOURCES/CONSERVATION- FISHERIES RESOURCES MANAGEMENT,Humboldt State University,15500,contract
NATURAL RESOURCES/CONSERVATION- OTHER FOREST/RANGE IMPROVEMENTS (NON-CONSTRUCTION),University of Minnesota-Twin Cities,3400,contract
