"source","target","value"
"Pardee RAND Graduate School","Federal Emergency Management Agency",56778614.69
"Pardee RAND Graduate School","Department of the Air Force",47866151.51
"Pardee RAND Graduate School","Department of the Army",37926772.58
"Pardee RAND Graduate School","National Institutes of Health",36898472
"Paris Junior College","Department of Education",1067392.79
"Paris Junior College","Corporation for National and Community Service",68679.47
"Parkland College","Department of Education",687831
"Parkland College","National Science Foundation",364334
"Pasadena City College","Department of Education",4247821.96
"Passaic County Community College","Department of Education",2127580.18
"Passaic County Community College","National Science Foundation",499505
"Passaic County Community College","Offices, Boards and Divisions",299895
"Passaic County Community College","National Aeronautics and Space Administration",290950
"Passaic County Community College","National Endowment for the Humanities",100000
"Patrick Henry Community College","Department of Education",1204250.03
"Paul D Camp Community College","Department of Education",608673
"Paul Quinn College","Department of Education",2624311
"Paul Smiths College of Arts and Science","Offices, Boards and Divisions",299954
"Paul Smiths College of Arts and Science","Department of Education",259827
"Pawnee Nation College","Department of Education",454024
"Pawnee Nation College","National Endowment for the Humanities",35000
"Pearl River Community College","Department of Education",344841
"Pellissippi State Community College","President's Committee on Employment of the Handicapped",1028000
"Pellissippi State Community College","Department of Education",660761
"Pellissippi State Community College","National Science Foundation",463348
"Peninsula College","Department of Education",763526
"Pennsylvania College of Technology","Department of Education",184235
"Pennsylvania College of Technology","National Endowment for the Arts",10000
"Pennsylvania Institute of Technology","Department of Education",346845
"Pennsylvania State System of Higher Education-Central Office","Department of Education",3363222
"Pennsylvania State University","Department of the Navy",773208156
"Pennsylvania State University","National Institutes of Health",247210998.69
"Pennsylvania State University","National Science Foundation",76166942
"Pennsylvania State University","Department of Energy",70567617.64
"Pennsylvania State University","Department of the Army",63332490.8
"Pensacola State College","Department of Education",1636484.1
"Pensacola State College","Offices, Boards and Divisions",300000
"Pensacola State College","Department of the Navy",218484.59
"Pepperdine University","Corporation for National and Community Service",483721
"Pepperdine University","National Institutes of Health",419662
"Pepperdine University","Department of the Army",358852
"Pepperdine University","National Science Foundation",100000
"Pepperdine University","Internal Revenue Service",97000
"Peralta Community College System Office","Economic Development Administration",3000000
